"","name","n_in","complete","teval_lik","pkg","n_out","ny_out","nx_out","teval_pred","teval_var","teval_both"
"1","ozone",20,FALSE,0.0006242,"snapKrig",88,8,11,0.0038601,0.0048265,0.0086866
"2","ozone",20,FALSE,0.0006242,"snapKrig",352,16,22,0.0021233,0.0051358,0.0072591
"3","ozone",20,FALSE,0.0006242,"snapKrig",1376,32,43,0.002376,0.0085429,0.0109189
"4","ozone",20,FALSE,0.0006242,"snapKrig",5440,64,85,0.0039531,0.0243589,0.028312
"5","ozone",20,FALSE,0.0006242,"snapKrig",21632,128,169,0.0106023,0.0800939,0.0906962
"6","ozone",20,FALSE,0.0006242,"snapKrig",86528,256,338,0.0268491,0.2855289,0.312378
"7","ozone",20,FALSE,0.0006242,"snapKrig",344925,511,675,0.0977182,1.0980501,1.1957683
"8","ozone",20,FALSE,0.0006242,"snapKrig",1377329,1021,1349,0.4765375,4.816658,5.2931955
"9","ozone",20,FALSE,0.0006242,"snapKrig",5504577,2041,2697,2.2485467,20.562796,22.8113427
"10","ozone",20,FALSE,0.0006242,"snapKrig",22008833,4081,5393,7.9240015,80.2218207,88.1458222
"11","ozone",20,FALSE,0.0014325,"fields",88,8,11,0.0004748,0.0008501,0.0013249
"12","ozone",20,FALSE,0.0014325,"fields",352,16,22,0.0006493,0.0013742,0.0020235
"13","ozone",20,FALSE,0.0014325,"fields",1376,32,43,0.0014143,0.0036111,0.0050254
"14","ozone",20,FALSE,0.0014325,"fields",5440,64,85,0.0042332,0.0128489,0.0170821
"15","ozone",20,FALSE,0.0014325,"fields",21632,128,169,0.0159245,0.0447499,0.0606744
"16","ozone",20,FALSE,0.0014325,"fields",86528,256,338,0.0604165,0.17933,0.2397465
"17","ozone",20,FALSE,0.0014325,"fields",344925,511,675,0.2325728,0.7121459,0.9447187
"18","ozone",20,FALSE,0.0014325,"fields",1377329,1021,1349,0.9285695,2.9573225,3.885892
"19","ozone",20,FALSE,0.0014325,"fields",5504577,2041,2697,3.797528,12.0490193,15.8465473
"20","ozone",20,FALSE,0.0014325,"fields",22008833,4081,5393,15.431304,49.0915356,64.5228396
"21","ozone",20,FALSE,0.0173001,"geoR",88,8,11,NA,NA,0.0040732
"22","ozone",20,FALSE,0.0173001,"geoR",352,16,22,NA,NA,0.0070533
"23","ozone",20,FALSE,0.0173001,"geoR",1376,32,43,NA,NA,0.0185272
"24","ozone",20,FALSE,0.0173001,"geoR",5440,64,85,NA,NA,0.0631241
"25","ozone",20,FALSE,0.0173001,"geoR",21632,128,169,NA,NA,0.2222516
"26","ozone",20,FALSE,0.0173001,"geoR",86528,256,338,NA,NA,0.9158504
"27","ozone",20,FALSE,0.0173001,"geoR",344925,511,675,NA,NA,3.6012097
